token	duration	length	syllaType	position	speaker	sanoiDur	vcdDur
j1a	109	short vowel	CV	final	Speaker #1	385	68
j1b	78	short vowel	GV	final	Speaker #1	374	51
j1c	145	long vowel	GV	nonfinal	Speaker #1	344	145
j1d	162	long vowel	CV	nonfinal	Speaker #1	333	162
j1e	88	short vowel	V	nonfinal	Speaker #1	349	88
j1f	136	short vowel	GV	final	Speaker #1	361	91
j1g	129	short vowel	V	final	Speaker #1	367	78
j1h	127	short vowel	V	final	Speaker #1	367	71
j1i	140	long vowel	CVN	nonfinal	Speaker #1	363	140
j1j	160	long vowel	CV	nonfinal	Speaker #1	370	160
j1k	244	long vowel	V	final	Speaker #1	345	202
j1l	90	short vowel	V	nonfinal	Speaker #1	357	90
j1m	198	long vowel	CV	final	Speaker #1	340	167
j1n	51	short vowel	GV	nonfinal	Speaker #1	354	51
j1o	152	long vowel	CV	nonfinal	Speaker #1	364	152
j1p	130	long vowel	CVN	nonfinal	Speaker #1	384	130
j1q	243	long vowel	CVN	final	Speaker #1	396	243
j1r	307	long vowel	GV	final	Speaker #1	346	245
j1s	190	short vowel	GV	final	Speaker #1	381	143
j1t	162	short vowel	CVN	final	Speaker #1	370	162
j2.1	71	short vowel	CVN	nonfinal	Speaker #1	411	71
j2.2	193	long vowel	V	nonfinal	Speaker #1	426	193
j2.3	57	short vowel	CV	nonfinal	Speaker #1	395	57
j2.4	68	short vowel	CV	nonfinal	Speaker #1	363	68
j2.5	204	long vowel	CVN	final	Speaker #1	401	204
j2.6	142	long vowel	CVN	final	Speaker #1	366	142
j2.7	165	long vowel	V	nonfinal	Speaker #1	349	165
j2.8	121	short vowel	CVN	final	Speaker #1	385	121
j2.9	222	long vowel	GV	final	Speaker #1	399	215
j2.10	253	short vowel	V	final	Speaker #1	353	91
j2.11	323	long vowel	V	final	Speaker #1	366	146
j2.12	69	short vowel	CV	nonfinal	Speaker #1	363	69
j2.13	141	short vowel	CV	final	Speaker #1	402	94
j2.14	184	long vowel	GV	nonfinal	Speaker #1	366	184
j2.15	188	long vowel	GV	nonfinal	Speaker #1	387	188
j2.16	208	long vowel	V	nonfinal	Speaker #1	409	208
j2.17	299	long vowel	V	final	Speaker #1	385	249
j2.18	173	short vowel	V	final	Speaker #1	377	157
j2.19	102	short vowel	GV	final	Speaker #1	391	87
j2.20	260	long vowel	CV	final	Speaker #1	363	205
j3.1	93	short vowel	V	final	Speaker #1	368	62
j3.2	86	short vowel	GV	nonfinal	Speaker #1	374	86
j3.3	119	short vowel	V	nonfinal	Speaker #1	386	119
j3.4	206	long vowel	CVN	nonfinal	Speaker #1	391	206
j3.5	159	short vowel	CVN	final	Speaker #1	444	159
j3.6	145	short vowel	GV	final	Speaker #1	377	113
j3.7	158	short vowel	GV	final	Speaker #1	414	84
j3.8	91	short vowel	CV	final	Speaker #1	421	56
j3.9	226	long vowel	GV	final	Speaker #1	384	196
j3.10	219	long vowel	V	nonfinal	Speaker #1	400	219
j3.11	99	short vowel	GV	final	Speaker #1	392	66
j3.12	182	long vowel	GV	nonfinal	Speaker #1	403	182
j3.13	137	short vowel	CVN	final	Speaker #1	382	137
j3.14	181	long vowel	CV	final	Speaker #1	387	128
j3.15	70	short vowel	GV	nonfinal	Speaker #1	386	70
j3.16	170	long vowel	CV	nonfinal	Speaker #1	428	170
j3.17	133	short vowel	CVN	nonfinal	Speaker #1	397	133
j3.18	98	short vowel	V	final	Speaker #1	422	66
j3.19	290	long vowel	V	final	Speaker #1	377	264
j3.20	64	short vowel	GV	nonfinal	Speaker #1	386	64
j4.1	64	short vowel	CV	nonfinal	Speaker #1	363	64
j4.2	150	long vowel	CV	nonfinal	Speaker #1	362	150
j4.3	282	long vowel	CV	final	Speaker #1	359	228
j4.4	113	short vowel	V	nonfinal	Speaker #1	415	113
j4.5	213	long vowel	V	nonfinal	Speaker #1	338	213
j4.6	177	long vowel	CVN	nonfinal	Speaker #1	374	177
j4.7	168	short vowel	GV	final	Speaker #1	404	115
j4.8	299	long vowel	V	final	Speaker #1	404	286
j4.9	116	short vowel	V	nonfinal	Speaker #1	410	116
j4.10	97	short vowel	CVN	nonfinal	Speaker #1	400	97
j4.11	93	short vowel	GV	nonfinal	Speaker #1	412	93
j4.12	245	long vowel	CVN	final	Speaker #1	401	245
j4.13	146	long vowel	CVN	nonfinal	Speaker #1	382	146
j4.14	76	short vowel	GV	nonfinal	Speaker #1	405	76
j4.15	101	short vowel	CVN	nonfinal	Speaker #1	358	101
j4.16	154	long vowel	CV	nonfinal	Speaker #1	398	154
j4.17	99	short vowel	V	nonfinal	Speaker #1	410	99
j4.18	121	short vowel	CV	final	Speaker #1	423	60
j4.19	130	short vowel	V	nonfinal	Speaker #1	405	130
j4.20	213	long vowel	GV	final	Speaker #1	385	161
j5.1	224	long vowel	GV	final	Speaker #1	408	174
j5.2	91	short vowel	CV	final	Speaker #1	386	20
j5.3	169	long vowel	GV	nonfinal	Speaker #1	368	169
j5.4	230	long vowel	GV	final	Speaker #1	366	155
j5.5	83	short vowel	CVN	nonfinal	Speaker #1	379	83
j5.6	141	long vowel	CV	nonfinal	Speaker #1	395	141
j5.7	180	long vowel	CV	nonfinal	Speaker #1	374	180
j5.8	181	long vowel	CVN	nonfinal	Speaker #1	375	181
j5.9	180	long vowel	CVN	nonfinal	Speaker #1	389	180
j5.10	215	long vowel	GV	nonfinal	Speaker #1	407	215
j5.11	106	short vowel	CVN	final	Speaker #1	430	106
j5.12	100	short vowel	V	nonfinal	Speaker #1	421	100
j5.13	209	long vowel	V	nonfinal	Speaker #1	395	209
j5.14	162	short vowel	CVN	final	Speaker #1	428	162
j5.15	98	short vowel	GV	nonfinal	Speaker #1	413	98
j5.16	77	short vowel	CV	nonfinal	Speaker #1	405	77
j5.17	186	long vowel	GV	nonfinal	Speaker #1	421	186
j5.18	156	short vowel	CVN	final	Speaker #1	367	156
j5.19	112	short vowel	V	nonfinal	Speaker #1	402	112
j5.20	148	short vowel	V	final	Speaker #1	420	93
j6.1	78	short vowel	GV	nonfinal	Speaker #1	436	78
j6.2	270	long vowel	CV	final	Speaker #1	438	195
j6.3	258	long vowel	CVN	final	Speaker #1	449	258
j6.4	286	long vowel	CV	final	Speaker #1	399	235
j6.5	267	long vowel	CV	final	Speaker #1	423	227
j6.6	266	long vowel	CVN	final	Speaker #1	382	266
j6.7	91	short vowel	CV	final	Speaker #1	396	72
j6.8	226	long vowel	GV	final	Speaker #1	384	210
j6.9	271	long vowel	V	final	Speaker #1	380	270
j6.10	192	long vowel	V	nonfinal	Speaker #1	418	192
j6.11	179	long vowel	CV	nonfinal	Speaker #1	417	179
j6.12	91	short vowel	V	nonfinal	Speaker #1	445	91
j6.13	61	short vowel	CV	nonfinal	Speaker #1	388	61
j6.14	165	long vowel	CVN	nonfinal	Speaker #1	436	165
j6.15	179	long vowel	CVN	nonfinal	Speaker #1	404	179
j6.16	90	short vowel	CV	final	Speaker #1	454	48
j6.17	98	short vowel	CVN	final	Speaker #1	407	98
j6.18	104	short vowel	CV	final	Speaker #1	381	49
j6.19	113	short vowel	CVN	nonfinal	Speaker #1	418	113
j6.20	46	short vowel	CV	nonfinal	Speaker #1	439	46
j7.1	210	long vowel	V	nonfinal	Speaker #1	385	210
j7.2	286	long vowel	CVN	final	Speaker #1	411	286
j7.3	118	short vowel	CVN	final	Speaker #1	392	118
j7.4	118	short vowel	V	final	Speaker #1	405	74
j7.5	130	short vowel	CV	final	Speaker #1	368	66
j7.6	177	long vowel	CVN	nonfinal	Speaker #1	424	177
j7.7	160	short vowel	GV	final	Speaker #1	408	100
j7.8	302	long vowel	GV	final	Speaker #1	431	207
j7.9	250	long vowel	GV	final	Speaker #1	423	223
j7.10	165	long vowel	CV	nonfinal	Speaker #1	412	165
j7.11	158	short vowel	V	final	Speaker #1	414	70
j7.12	166	long vowel	GV	nonfinal	Speaker #1	384	166
j7.13	202	long vowel	V	nonfinal	Speaker #1	431	202
j7.14	128	short vowel	V	final	Speaker #1	389	56
j7.15	274	long vowel	V	final	Speaker #1	409	206
j7.16	273	long vowel	CVN	final	Speaker #1	410	273
j7.17	100	short vowel	CVN	nonfinal	Speaker #1	389	100
j7.18	129	short vowel	CVN	nonfinal	Speaker #1	394	129
j7.19	252	long vowel	GV	final	Speaker #1	444	230
j7.20	49	short vowel	CV	nonfinal	Speaker #1	393	49
j7.21	217	long vowel	V	nonfinal	Speaker #1	400	217
j8.1	184	long vowel	GV	nonfinal	Speaker #1	404	184
j8.2	108	short vowel	CV	final	Speaker #1	377	32
j8.3	112	short vowel	V	nonfinal	Speaker #1	392	112
j8.4	63	short vowel	CV	nonfinal	Speaker #1	399	63
j8.5	100	short vowel	CVN	nonfinal	Speaker #1	377	100
j8.6	190	long vowel	CVN	final	Speaker #1	403	190
j8.7	281	long vowel	GV	final	Speaker #1	385	228
j8.8	353	long vowel	GV	final	Speaker #1	404	232
j8.9	179	short vowel	V	final	Speaker #1	370	76
j8.10	272	long vowel	V	final	Speaker #1	428	213
j8.11	67	short vowel	CV	nonfinal	Speaker #1	381	67
j8.12	227	long vowel	CV	final	Speaker #1	443	170
j8.13	125	short vowel	GV	final	Speaker #1	400	71
j8.14	155	short vowel	GV	final	Speaker #1	433	100
j8.15	200	long vowel	GV	nonfinal	Speaker #1	402	200
j8.16	119	short vowel	V	nonfinal	Speaker #1	392	119
j8.17	138	short vowel	CV	final	Speaker #1	416	62
j8.18	73	short vowel	CVN	nonfinal	Speaker #1	435	73
j8.19	98	short vowel	CVN	nonfinal	Speaker #1	445	98
j8.20	76	short vowel	GV	nonfinal	Speaker #1	423	76
j9.1	101	short vowel	CV	final	Speaker #1	403	63
j9.2	137	short vowel	CVN	final	Speaker #1	372	137
j9.3	111	short vowel	CVN	final	Speaker #1	378	111
j9.4	100	short vowel	CVN	final	Speaker #1	414	100
j9.5	100	short vowel	GV	nonfinal	Speaker #1	402	100
j9.6	189	long vowel	V	nonfinal	Speaker #1	382	189
j9.7	251	long vowel	CVN	final	Speaker #1	438	251
j9.8	211	long vowel	V	nonfinal	Speaker #1	375	211
j9.9	162	long vowel	CVN	nonfinal	Speaker #1	399	162
j9.10	326	long vowel	V	final	Speaker #1	399	267
j9.11	223	long vowel	CV	final	Speaker #1	397	147
j9.12	190	long vowel	CV	nonfinal	Speaker #1	403	190
j9.13	278	long vowel	CV	final	Speaker #1	371	192
j9.14	157	short vowel	V	final	Speaker #1	363	109
j9.15	212	long vowel	CVN	final	Speaker #1	415	212
j9.16	68	short vowel	CV	nonfinal	Speaker #1	442	68
j9.17	215	long vowel	GV	nonfinal	Speaker #1	431	215
j9.18	259	long vowel	CV	final	Speaker #1	416	190
j9.19	104	short vowel	CVN	nonfinal	Speaker #1	398	104
j9.20	94	short vowel	GV	nonfinal	Speaker #1	412	94
j10.1	86	short vowel	GV	nonfinal	Speaker #1	419	86
j10.2	169	long vowel	CVN	nonfinal	Speaker #1	392	169
j10.3	231	long vowel	CV	final	Speaker #1	416	203
j10.4	206	long vowel	V	final	Speaker #1	371	214
j10.5	176	long vowel	GV	nonfinal	Speaker #1	393	176
j10.6	194	long vowel	CV	nonfinal	Speaker #1	423	194
j10.7	231	long vowel	V	final	Speaker #1	419	218
j10.8	238	long vowel	V	final	Speaker #1	372	197
j10.9	61	short vowel	CV	nonfinal	Speaker #1	393	61
j10.10	210	long vowel	CVN	final	Speaker #1	394	210
j10.11	167	short vowel	GV	final	Speaker #1	389	88
s1.1	122	short vowel	CV	final	Speaker #2	442	48
s1.2	122	short vowel	GV	final	Speaker #2	482	65
s1.3	133	long vowel	GV	nonfinal	Speaker #2	433	133
s1.4	178	long vowel	CV	nonfinal	Speaker #2	387	178
s1.5	81	short vowel	V	nonfinal	Speaker #2	429	81
s1.6	137	short vowel	GV	final	Speaker #2	475	75
s1.7	99	short vowel	V	final	Speaker #2	490	60
s1.8	130	short vowel	V	final	Speaker #2	421	101
s1.9	201	long vowel	CVN	nonfinal	Speaker #2	460	201
